,Name,Total Pop,White Pop,Black Pop,Household Type,Computer,State,County,Tract,Block Group
4406,"Block Group 4, Census Tract 3201, Hanover County, Virginia",1664,0,1520,584,1624,51,085,320100,4
4407,"Block Group 2, Census Tract 3210.02, Hanover County, Virginia",3873,325,3299,1513,3731,51,085,321002,2
4408,"Block Group 2, Census Tract 3212.02, Hanover County, Virginia",1052,137,915,434,953,51,085,321202,2
4409,"Block Group 1, Census Tract 3205, Hanover County, Virginia",1274,24,1250,451,1264,51,085,320500,1
4410,"Block Group 4, Census Tract 3209, Hanover County, Virginia",1213,95,1118,474,1193,51,085,320900,4
4411,"Block Group 1, Census Tract 3209, Hanover County, Virginia",1321,35,1190,554,1269,51,085,320900,1
4412,"Block Group 2, Census Tract 3206.01, Hanover County, Virginia",1956,400,1420,266,620,51,085,320601,2
4413,"Block Group 3, Census Tract 204, Bristol city, Virginia",2501,79,2422,996,2414,51,520,020400,3
4414,"Block Group 3, Census Tract 202, Bristol city, Virginia",1157,196,888,577,991,51,520,020200,3
4415,"Block Group 1, Census Tract 202, Bristol city, Virginia",1378,66,1312,631,1197,51,520,020200,1
4416,"Block Group 3, Census Tract 201, Bristol city, Virginia",1747,76,1544,847,1579,51,520,020100,3
4417,"Block Group 2, Census Tract 3, Martinsville city, Virginia",540,250,250,192,319,51,690,000300,2
4418,"Block Group 1, Census Tract 2, Martinsville city, Virginia",637,585,11,275,584,51,690,000200,1
4419,"Block Group 1, Census Tract 9502, Nelson County, Virginia",776,0,749,382,745,51,125,950200,1
4420,"Block Group 1, Census Tract 9501, Nelson County, Virginia",1675,220,1455,614,1552,51,125,950100,1
4421,"Block Group 2, Census Tract 506, Frederick County, Virginia",1614,79,1469,594,1494,51,069,050600,2
4422,"Block Group 1, Census Tract 101.06, Stafford County, Virginia",1860,427,1249,554,1710,51,179,010106,1
4423,"Block Group 3, Census Tract 104.05, Stafford County, Virginia",4133,1289,2472,1086,4115,51,179,010405,3
4424,"Block Group 3, Census Tract 102.06, Stafford County, Virginia",1894,594,1054,547,1882,51,179,010206,3
4425,"Block Group 3, Census Tract 104.04, Stafford County, Virginia",4003,650,3105,1241,4003,51,179,010404,3
4426,"Block Group 1, Census Tract 104.06, Stafford County, Virginia",1224,13,1092,550,1176,51,179,010406,1
4427,"Block Group 1, Census Tract 503, Richmond city, Virginia",1441,0,1412,807,1417,51,760,050300,1
4428,"Block Group 2, Census Tract 321.28, Newport News city, Virginia",922,507,403,404,807,51,700,032128,2
4429,"Block Group 1, Census Tract 321.30, Newport News city, Virginia",2617,809,1249,1060,2609,51,700,032130,1
4430,"Block Group 1, Census Tract 321.29, Newport News city, Virginia",930,251,525,462,879,51,700,032129,1
4431,"Block Group 2, Census Tract 320.07, Newport News city, Virginia",435,190,230,163,429,51,700,032007,2
4432,"Block Group 3, Census Tract 322.23, Newport News city, Virginia",1421,1167,103,526,1332,51,700,032223,3
4433,"Block Group 1, Census Tract 201, Northumberland County, Virginia",553,0,553,277,506,51,133,020100,1
4434,"Block Group 3, Census Tract 202, Northumberland County, Virginia",689,208,481,243,610,51,133,020200,3
4435,"Block Group 3, Census Tract 203, Northumberland County, Virginia",1029,168,831,460,966,51,133,020300,3
4436,"Block Group 3, Census Tract 4005, Goochland County, Virginia",1215,379,765,440,1019,51,075,400500,3
4437,"Block Group 3, Census Tract 9019, Prince William County, Virginia",934,122,255,314,913,51,153,901900,3
4438,"Block Group 1, Census Tract 9019, Prince William County, Virginia",1690,542,833,504,1527,51,153,901900,1
